model,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
logistic_regression,0.8459527189246974,0.012409919912800488,0.7484929101766584,0.015277246230929489,0.5169334242384205,0.018898965297489835,0.8013377926421403,0.037932968237479145,0.6282570726199064,0.023165361233898393
random_forest,0.8187962829950063,0.010349697427765094,0.7870075854884389,0.009503859737296777,0.6313182419611151,0.021983165124647718,0.474247491638796,0.029643504757405133,0.5412907971427715,0.024948452214507946
dummy_most_frequent,0.5,0.0,0.7346467539058252,9.424729039042568e-05,0.0,0.0,0.0,0.0,0.0,0.0
